horizon,trace,depth_m,x_utm,y_utm
BP_top,0,15.0,345163.69,4476814.5
BP_top,10,15.5,345162.13,4476764.5
BP_top,20,16.1,345160.63,4476715.0
BP_top,30,16.7,345159.13,4476664.5
BP_top,40,17.4,345157.59,4476615.0
BP_top,50,18.1,345156.06,4476564.5
BP_top,60,18.8,345154.56,4476515.0
BP_top,70,19.5,345153.06,4476465.0
BP_top,80,20.2,345151.5,4476415.0
BP_top,90,20.9,345150.0,4476365.0
BP_top,100,21.6,345148.5,4476315.0
BP_top,110,22.2,345147.0,4476265.0
BP_top,120,22.9,345145.44,4476215.0
BP_top,130,23.5,345143.94,4476165.0
BP_top,140,24.1,345142.44,4476115.0
BP_top,150,24.7,345140.94,4476065.0
BP_top,160,25.2,345139.38,4476015.0
BP_top,170,25.7,345137.88,4475965.0
BP_top,180,26.1,345136.38,4475915.0
BP_top,190,26.5,345134.84,4475865.0
BP_top,200,26.9,345133.31,4475815.0
BP_top,210,27.3,345131.81,4475765.0
BP_top,220,27.6,345130.31,4475715.0
BP_top,230,27.9,345128.81,4475665.0
BP_top,240,28.2,345127.25,4475615.5
BP_top,250,28.5,345125.75,4475565.0
BP_top,260,28.8,345124.25,4475515.5
BP_top,270,29.0,345122.75,4475465.0
BP_top,280,29.3,345121.19,4475415.5
BP_top,290,29.5,345119.69,4475365.0
BP_top,300,29.8,345118.19,4475315.5
BP_top,310,30.0,345116.69,4475265.0
BP_top,320,30.2,345115.13,4475215.5
BP_top,330,30.4,345113.63,4475165.0
BP_top,340,30.6,345112.13,4475115.0
BP_top,350,30.8,345110.59,4475065.0
BP_top,360,31.0,345109.06,4475015.5
BP_top,370,31.3,345107.56,4474965.0
BP_top,380,31.7,345106.06,4474915.5
BP_top,390,32.1,345104.53,4474865.0
BP_top,400,32.5,345103.0,4474815.5
BP_top,410,33.0,345101.5,4474765.5
BP_top,420,33.5,345100.0,4474716.0
BP_top,430,33.9,345098.5,4474665.5
BP_top,440,34.4,345096.94,4474616.0
BP_top,450,34.7,345095.44,4474565.5
BP_top,460,34.9,345093.94,4474516.0
BP_top,470,35.0,345092.44,4474465.5
BP_top,480,35.0,345090.88,4474416.0
BP_top,490,34.7,345089.38,4474365.5
BP_top,500,34.3,345087.88,4474316.0
BP_top,510,33.7,345086.34,4474266.0
BP_top,520,32.9,345084.81,4474216.0
BP_top,530,31.9,345083.31,4474166.0
BP_top,540,30.6,345081.81,4474116.0
BP_top,550,29.1,345080.28,4474066.0
BP_top,560,27.4,345078.75,4474016.0
BP_top,570,25.7,345077.25,4473966.0
BP_top,580,23.9,345075.75,4473916.0
BP_top,590,22.1,345074.19,4473866.0
BP_top,600,20.5,345072.69,4473816.0
BP_top,610,19.2,345071.19,4473766.0
BP_top,620,18.2,345069.69,4473716.0
BP_top,630,17.5,345068.19,4473666.0
BP_top,640,17.3,345066.63,4473616.0
BP_top,650,17.3,345065.13,4473566.0
BP_top,660,17.6,345063.63,4473516.0
BP_top,670,18.1,345062.09,4473466.0
BP_top,680,18.7,345060.56,4473416.0
BP_top,690,19.4,345059.06,4473366.0
BP_top,700,20.0,345057.56,4473316.0
BP_top,710,20.6,345056.03,4473266.0
BP_top,720,21.1,345054.5,4473216.5
BP_top,730,21.4,345053.0,4473166.5
BP_top,740,21.7,345051.5,4473116.5
BP_top,750,22.0,345049.94,4473066.5
BP_top,760,22.1,345048.44,4473016.5
BP_top,770,22.1,345046.94,4472966.5
BP_top,780,22.0,345046.25,4472916.5
BP_top,790,21.8,345045.53,4472866.0
BP_top,800,21.5,345044.84,4472816.0
BP_top,810,21.2,345044.16,4472766.5
BP_top,820,20.9,345043.44,4472716.0
BP_top,830,20.5,345042.75,4472666.0
BP_top,840,20.3,345042.06,4472616.0
BP_top,850,20.1,345041.38,4472566.5
BP_top,860,20.0,345040.66,4472516.0
BP_top,870,20.0,345039.97,4472466.0
BP_top,880,20.1,345039.28,4472416.5
BP_top,890,20.3,345038.56,4472366.5
BP_top,900,20.6,345037.88,4472316.0
BP_top,910,20.9,345037.19,4472266.0
BP_top,920,21.4,345036.5,4472216.5
BP_top,930,21.8,345035.81,4472166.0
BP_top,940,22.4,345035.09,4472116.0
BP_top,950,22.9,345034.75,4472066.5
BP_top,960,23.4,345034.94,4472016.5
BP_top,970,23.9,345035.19,4471966.5
BP_top,980,24.4,345035.44,4471916.5
BP_top,990,24.7,345035.63,4471866.5
BP_top,1000,24.9,345035.88,4471816.5
BP_top,1010,25.0,345036.06,4471766.5
BP_top,1020,24.9,345036.31,4471716.5
BP_top,1030,24.7,345036.56,4471666.5
BP_top,1040,24.3,345036.75,4471616.5
BP_top,1050,23.9,345037.0,4471566.5
BP_top,1060,23.4,345037.22,4471516.5
BP_top,1070,22.9,345036.5,4471466.5
BP_top,1080,22.4,345035.38,4471416.5
BP_top,1090,21.9,345034.25,4471366.5
BP_top,1100,21.5,345033.13,4471316.5
BP_top,1110,21.2,345032.03,4471266.5
BP_top,1120,20.9,345030.16,4471216.5
BP_top,1130,20.7,345025.63,4471167.0
BP_top,1140,20.5,345021.03,4471117.0
BP_top,1150,20.3,345016.5,4471067.0
BP_top,1160,20.1,345011.94,4471017.5
BP_top,1170,19.9,345007.41,4470967.5
BP_top,1180,19.8,345002.84,4470917.5
BP_top,1190,19.6,344998.25,4470868.0
BP_top,1200,19.4,344993.75,4470818.0
BP_top,1210,19.1,344989.19,4470768.5
BP_top,1220,18.9,344984.63,4470718.5
BP_top,1230,18.5,344980.06,4470669.0
BP_top,1240,18.2,344975.53,4470619.0
Qsd_base,0,120.0,345163.69,4476814.5
Qsd_base,10,121.2,345162.13,4476764.5
Qsd_base,20,122.4,345160.63,4476715.0
Qsd_base,30,123.6,345159.13,4476664.5
Qsd_base,40,124.9,345157.59,4476615.0
Qsd_base,50,126.3,345156.06,4476564.5
Qsd_base,60,127.6,345154.56,4476515.0
Qsd_base,70,128.9,345153.06,4476465.0
Qsd_base,80,130.3,345151.5,4476415.0
Qsd_base,90,131.7,345150.0,4476365.0
Qsd_base,100,133.0,345148.5,4476315.0
Qsd_base,110,134.3,345147.0,4476265.0
Qsd_base,120,135.6,345145.44,4476215.0
Qsd_base,130,136.9,345143.94,4476165.0
Qsd_base,140,138.2,345142.44,4476115.0
Qsd_base,150,139.4,345140.94,4476065.0
Qsd_base,160,140.5,345139.38,4476015.0
Qsd_base,170,141.6,345137.88,4475965.0
Qsd_base,180,142.7,345136.38,4475915.0
Qsd_base,190,143.7,345134.84,4475865.0
Qsd_base,200,144.7,345133.31,4475815.0
Qsd_base,210,145.7,345131.81,4475765.0
Qsd_base,220,146.7,345130.31,4475715.0
Qsd_base,230,147.7,345128.81,4475665.0
Qsd_base,240,148.7,345127.25,4475615.5
Qsd_base,250,149.7,345125.75,4475565.0
Qsd_base,260,150.7,345124.25,4475515.5
Qsd_base,270,151.7,345122.75,4475465.0
Qsd_base,280,152.6,345121.19,4475415.5
Qsd_base,290,153.5,345119.69,4475365.0
Qsd_base,300,154.3,345118.19,4475315.5
Qsd_base,310,154.9,345116.69,4475265.0
Qsd_base,320,155.5,345115.13,4475215.5
Qsd_base,330,156.0,345113.63,4475165.0
Qsd_base,340,156.4,345112.13,4475115.0
Qsd_base,350,156.7,345110.59,4475065.0
Qsd_base,360,157.0,345109.06,4475015.5
Qsd_base,370,157.4,345107.56,4474965.0
Qsd_base,380,157.7,345106.06,4474915.5
Qsd_base,390,158.0,345104.53,4474865.0
Qsd_base,400,158.5,345103.0,4474815.5
Qsd_base,410,158.9,345101.5,4474765.5
Qsd_base,420,159.4,345100.0,4474716.0
Qsd_base,430,160.0,345098.5,4474665.5
Qsd_base,440,160.5,345096.94,4474616.0
Qsd_base,450,161.1,345095.44,4474565.5
Qsd_base,460,161.6,345093.94,4474516.0
Qsd_base,470,162.2,345092.44,4474465.5
Qsd_base,480,162.6,345090.88,4474416.0
Qsd_base,490,162.8,345089.38,4474365.5
Qsd_base,500,162.4,345087.88,4474316.0
Qsd_base,510,161.4,345086.34,4474266.0
Qsd_base,520,159.5,345084.81,4474216.0
Qsd_base,530,156.5,345083.31,4474166.0
Qsd_base,540,152.3,345081.81,4474116.0
Qsd_base,550,146.5,345080.28,4474066.0
Qsd_base,560,139.5,345078.75,4474016.0
Qsd_base,570,131.6,345077.25,4473966.0
Qsd_base,580,123.4,345075.75,4473916.0
Qsd_base,590,115.2,345074.19,4473866.0
Qsd_base,600,107.6,345072.69,4473816.0
Qsd_base,610,101.0,345071.19,4473766.0
Qsd_base,620,95.8,345069.69,4473716.0
